index,Mkt-RF,SMB,HML,RF
197608,-0.56,-2.01,0.77,0.42
197609,2.06,0,-0.28,0.44
197610,-2.42,0.25,-0.13,0.41
197611,0.36,2.35,1.52,0.4
197612,5.65,3,2.23,0.4
197701,-4.05,4.78,4.27,0.36
197702,-1.95,1.1,0.49,0.35
197703,-1.37,1,1.04,0.38
197704,0.15,-0.1,3.45,0.38
197705,-1.46,1.2,0.83,0.37
197706,4.71,2.13,-0.65,0.4
197707,-1.69,2.13,-0.61,0.42
197708,-1.75,1.51,-2.79,0.44
197709,-0.27,1.44,-0.51,0.43
197710,-4.38,1.26,1.7,0.49
197711,4,3.69,0.35,0.5
197712,0.27,1.34,-0.34,0.49
197801,-6.01,2.22,3.29,0.49
197802,-1.38,3.57,0.8,0.46
197803,2.85,3.44,1.25,0.53
197804,7.88,0.38,-3.49,0.54
197805,1.76,4.59,-0.6,0.51
197806,-1.69,1.69,0.58,0.54
197807,5.11,0.28,-1.1,0.56
197808,3.75,5.09,-0.47,0.56
197809,-1.43,-0.42,1.87,0.62
197810,-11.91,-9.9,1.36,0.68
197811,2.71,3.03,-2.21,0.7
197812,0.88,1.25,-2.18,0.78
197901,4.23,3.69,2.26,0.77
197902,-3.56,0.46,1.18,0.73
197903,5.68,3.2,-0.65,0.81
197904,-0.06,2.16,1.08,0.8
197905,-2.21,0.52,1.87,0.82
197906,3.85,1.16,1.45,0.81
197907,0.82,1.26,1.71,0.77
197908,5.53,2.08,-1.52,0.77
197909,-0.82,-0.26,-0.9,0.83
197910,-8.1,-3.33,-1.85,0.87
197911,5.21,2.75,-3.27,0.99
197912,1.79,4.17,-1.99,0.95
198001,5.51,1.65,1.83,0.8
198002,-1.22,-1.82,0.61,0.89
198003,-12.9,-6.64,-1.06,1.21
198004,3.97,0.97,1.05,1.26
198005,5.26,2.16,0.39,0.81
198006,3.06,1.68,-0.89,0.61
198007,6.49,4.25,-6.34,0.53
198008,1.8,3.91,-2.64,0.64
198009,2.19,0.87,-4.75,0.75
198010,1.06,2.49,-2.77,0.95
198011,9.59,-3.49,-8.44,0.96
198012,-4.52,-0.28,2.71,1.31
198101,-5.04,3,6.82,1.04
198102,0.56,-0.3,1.03,1.07
198103,3.56,3.58,0.7,1.21
198104,-2.1,4.43,2.31,1.08
198105,0.11,2.01,-0.41,1.15
198106,-2.36,-0.85,5.09,1.35
198107,-1.54,-2.17,-0.6,1.24
198108,-7.03,-1.96,4.83,1.28
198109,-7.17,-2.66,5.18,1.24
198110,4.92,2.15,-4.2,1.21
198111,3.36,-0.96,1.91,1.07
198112,-3.65,1.18,0.75,0.87
198201,-3.24,-1.29,3.13,0.8
198202,-5.86,0.46,6.04,0.92
198203,-1.87,-0.18,3.81,0.98
198204,3.27,1.52,-2.79,1.13
198205,-3.99,0.47,1.82,1.06
198206,-3.09,-0.39,1.55,0.96
198207,-3.19,0.85,0.18,1.05
198208,11.14,-4.11,1.16,0.76
198209,1.29,2.88,0.33,0.51
198210,11.3,2.36,-3.69,0.59
198211,4.67,4.79,-1.93,0.63
198212,0.55,-0.17,0.02,0.67
198301,3.6,2.69,-0.87,0.69
198302,2.59,3.24,0.68,0.62
198303,2.82,1.77,2.05,0.63
198304,6.67,0.52,0.57,0.71
198305,0.52,6.16,-1.37,0.69
198306,3.07,0.9,-3.87,0.67
198307,-4.07,1.47,5.59,0.74
198308,-0.5,-4.29,5.51,0.76
198309,0.92,0.55,1.07,0.76
198310,-3.44,-3.6,5.02,0.76
198311,2.16,2.04,-0.64,0.7
198312,-1.78,-0.28,1.7,0.73
198401,-1.92,-0.42,7.61,0.76
198402,-4.82,-1.69,3.31,0.71
198403,0.63,0.07,0.49,0.73
198404,-0.52,-1.2,1.24,0.81
198405,-5.97,0.04,0.23,0.78
198406,1.82,-0.31,-2.59,0.75
198407,-2.74,-2.22,0.4,0.82
198408,10.28,-0.24,-1.79,0.83
198409,-0.8,0.22,5.29,0.86
198410,-0.84,-1.21,0.48,1
198411,-1.76,-0.62,4.04,0.73
198412,1.84,-0.58,-0.14,0.64
198501,7.99,3.27,-5.38,0.65
198502,1.22,0.76,-0.15,0.58
198503,-0.84,-1.14,4.07,0.62
198504,-0.96,0.16,3.72,0.72
198505,5.09,-2.27,-0.87,0.66
198506,1.27,0.53,0.5,0.55
198507,-0.74,2.85,-1.65,0.62
198508,-1.02,-0.32,2.32,0.55
198509,-4.54,-1.6,1.28,0.6
198510,4.02,-1.57,0.79,0.65
198511,6.48,0.23,-2.88,0.61
198512,3.88,-0.49,-1.51,0.65
198601,0.65,1.2,0.51,0.56
198602,7.13,-0.63,-0.89,0.53
198603,4.88,-0.52,-0.47,0.6
198604,-1.31,2.85,-2.84,0.52
198605,4.62,-1.32,-0.12,0.49
198606,1.03,-0.92,1.37,0.52
198607,-6.45,-3.37,4.78,0.52
198608,6.07,-4.17,3.51,0.46
198609,-8.6,2.28,3.18,0.45
198610,4.66,-2.56,-1.44,0.46
198611,1.17,-1.97,-0.13,0.39
198612,-3.27,0.06,0.3,0.49
198701,12.47,-1.8,-3.17,0.42
198702,4.39,3.49,-5.98,0.43
198703,1.64,0.37,1.64,0.47
198704,-2.11,-1.69,-0.32,0.44
198705,0.11,-0.52,0.12,0.38
198706,3.94,-2.19,1.06,0.48
198707,3.85,-0.63,0.71,0.46
198708,3.52,-0.74,-0.93,0.47
198709,-2.59,0.54,0.28,0.45
198710,-23.24,-8.42,4.23,0.6
198711,-7.77,2.76,3.08,0.35
198712,6.81,0.14,-4.45,0.39
198801,4.21,-0.71,5.17,0.29
198802,4.75,3.35,-1.65,0.46
198803,-2.27,6.14,0.75,0.44
198804,0.56,0.96,1.68,0.46
198805,-0.29,-2.65,2.28,0.51
198806,4.79,2.1,-1.11,0.49
198807,-1.25,-0.2,2.27,0.51
198808,-3.31,0.08,2.08,0.59
198809,3.3,-1.27,-0.69,0.62
198810,1.15,-2.9,1.68,0.61
198811,-2.29,-1.73,1.27,0.57
198812,1.49,1.94,-1.55,0.63
198901,6.1,-2.13,0.53,0.55
198902,-2.25,2.76,0.88,0.61
198903,1.57,0.73,0.48,0.67
198904,4.33,-0.59,-1.47,0.67
198905,3.35,-0.04,-0.83,0.79
198906,-1.35,-1,2.16,0.71
198907,7.2,-4,-2.85,0.7
198908,1.44,0.5,0.75,0.74
198909,-0.76,0.27,-1.31,0.65
198910,-3.67,-3.28,-1.07,0.68
198911,1.03,-1.25,-1.06,0.69
198912,1.16,-2.4,0.24,0.61
199001,-7.85,-1.28,0.83,0.57
199002,1.11,1.02,0.65,0.57
199003,1.83,1.52,-2.9,0.64
199004,-3.36,-0.51,-2.53,0.69
199005,8.42,-2.55,-3.77,0.68
199006,-1.09,1.45,-1.98,0.63
199007,-1.9,-3.2,-0.01,0.68
199008,-10.14,-3.58,1.63,0.66
199009,-6.12,-3.67,0.74,0.6
199010,-1.92,-5.53,0.29,0.68
199011,6.35,0.32,-3.11,0.57
199012,2.46,0.81,-1.56,0.6
199101,4.69,3.8,-1.84,0.52
199102,7.19,3.94,-0.54,0.48
199103,2.65,3.89,-1.24,0.44
199104,-0.28,0.51,1.4,0.53
199105,3.64,-0.34,-0.56,0.47
199106,-4.94,0.07,1.21,0.42
199107,4.24,-0.93,-1.27,0.49
199108,2.32,1.6,-0.8,0.46
199109,-1.59,1.64,-0.98,0.46
199110,1.28,0.9,-0.44,0.42
